subgroup,subgroup_value,min_year,max_year,dv,formula,Intercept,year_estimate,year_pvalue,year_stderr
BASIC2018,30,2012,2020,tenured_un_tenured_black_latino_american_indian_alaska_native_hawaiian_pacific_multiracial_total_pct,tenured_un_tenured_black_latino_american_indian_alaska_native_hawaiian_pacific_multiracial_total_pct ~ year_num,0.14095350913738602,0.004888327377367286,0.0007229919517259847,0.0008551392225762393
BASIC2018,30,2012,2020,tenured_full_Grand_total_pct,tenured_full_Grand_total_pct ~ year_num,99.99999999999997,-4.6629367034256575e-15,0.5382181711306381,7.206218595529064e-15
BASIC2018,30,2012,2020,tenured_full_Grand_total_men_pct,tenured_full_Grand_total_men_pct ~ year_num,54.14846157859998,-0.12604733686759018,0.47290130254655693,0.16617564112270986
BASIC2018,30,2012,2020,tenured_full_Grand_total_women_pct,tenured_full_Grand_total_women_pct ~ year_num,45.851538421399994,0.1260473368675843,0.4729013025465767,0.16617564112270972
BASIC2018,30,2012,2020,tenured_full_American_Indian_or_Alaska_Native_total_pct,tenured_full_American_Indian_or_Alaska_Native_total_pct ~ year_num,0.17054882372044264,0.062320347564253455,0.20768160482539227,0.04489633908766609
BASIC2018,30,2012,2020,tenured_full_American_Indian_or_Alaska_Native_men_pct,tenured_full_American_Indian_or_Alaska_Native_men_pct ~ year_num,0.14056692062989373,0.0001842299189388297,0.995152328096598,0.0292620497809166
BASIC2018,30,2012,2020,tenured_full_American_Indian_or_Alaska_Native_women_pct,tenured_full_American_Indian_or_Alaska_Native_women_pct ~ year_num,0.029981903090548906,0.06213611764531462,0.007596821215806893,0.01676730749390244
BASIC2018,30,2012,2020,tenured_full_Asian_total_pct,tenured_full_Asian_total_pct ~ year_num,3.2266970727927173,0.10797035137466984,0.05991401084550853,0.048161243125793333
BASIC2018,30,2012,2020,tenured_full_Asian_men_pct,tenured_full_Asian_men_pct ~ year_num,2.314652670669899,0.02926188168681783,0.7129848285864542,0.07637361858185347
BASIC2018,30,2012,2020,tenured_full_Asian_women_pct,tenured_full_Asian_women_pct ~ year_num,0.912044402122818,0.07870846968785192,0.13411908921004678,0.04646674482275238
BASIC2018,30,2012,2020,tenured_full_Black_or_African_American_total_pct,tenured_full_Black_or_African_American_total_pct ~ year_num,3.5001279950482225,0.13353894277344214,0.021921016932767615,0.04552510280185283
BASIC2018,30,2012,2020,tenured_full_Black_or_African_American_men_pct,tenured_full_Black_or_African_American_men_pct ~ year_num,3.2097943835428304,0.01969200258505935,0.5950962962856887,0.03537491527313182
BASIC2018,30,2012,2020,tenured_full_Black_or_African_American_women_pct,tenured_full_Black_or_African_American_women_pct ~ year_num,0.2903336115053917,0.11384694018838275,0.03877392729206441,0.04485595611265055
BASIC2018,30,2012,2020,tenured_full_Hispanic_or_Latino_total_pct,tenured_full_Hispanic_or_Latino_total_pct ~ year_num,5.893501328402118,0.2610854665119605,0.021543584038779165,0.08863817856070719
BASIC2018,30,2012,2020,tenured_full_Hispanic_or_Latino_men_pct,tenured_full_Hispanic_or_Latino_men_pct ~ year_num,3.572986208191126,0.12942558870627888,0.04607317229354063,0.053475442254771334
BASIC2018,30,2012,2020,tenured_full_Hispanic_or_Latino_women_pct,tenured_full_Hispanic_or_Latino_women_pct ~ year_num,2.320515120210992,0.13165987780568156,0.016653120649230427,0.04208895541482067
BASIC2018,30,2012,2020,tenured_full_Native_Hawaiian_or_Other_Pacific_Islander_total_pct,tenured_full_Native_Hawaiian_or_Other_Pacific_Islander_total_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_full_Native_Hawaiian_or_Other_Pacific_Islander_men_pct,tenured_full_Native_Hawaiian_or_Other_Pacific_Islander_men_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_full_Native_Hawaiian_or_Other_Pacific_Islander_women_pct,tenured_full_Native_Hawaiian_or_Other_Pacific_Islander_women_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_full_Nonresident_alien_total_pct,tenured_full_Nonresident_alien_total_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_full_Nonresident_alien_men_pct,tenured_full_Nonresident_alien_men_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_full_Nonresident_alien_women_pct,tenured_full_Nonresident_alien_women_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_full_Race_ethnicity_unknown_total_pct,tenured_full_Race_ethnicity_unknown_total_pct ~ year_num,5.621216192328815,0.15343653846453478,0.38056087633259,0.16397500941174054
BASIC2018,30,2012,2020,tenured_full_Race_ethnicity_unknown_men_pct,tenured_full_Race_ethnicity_unknown_men_pct ~ year_num,3.856718444252085,0.049214713424981446,0.6624543271597911,0.10801499588682781
BASIC2018,30,2012,2020,tenured_full_Race_ethnicity_unknown_women_pct,tenured_full_Race_ethnicity_unknown_women_pct ~ year_num,1.7644977480767299,0.10422182503955332,0.29633090952537455,0.09236161124754788
BASIC2018,30,2012,2020,tenured_full_Two_or_more_races_total_pct,tenured_full_Two_or_more_races_total_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_full_Two_or_more_races_men_pct,tenured_full_Two_or_more_races_men_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_full_Two_or_more_races_women_pct,tenured_full_Two_or_more_races_women_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_full_White_total_pct,tenured_full_White_total_pct ~ year_num,81.58790858770766,-0.7183516466888642,0.0038797749205152997,0.16975336815827147
BASIC2018,30,2012,2020,tenured_full_White_men_pct,tenured_full_White_men_pct ~ year_num,41.05374295131415,-0.3538257531896646,0.32459512797253104,0.3339845189477571
BASIC2018,30,2012,2020,tenured_full_White_women_pct,tenured_full_White_women_pct ~ year_num,40.53416563639352,-0.3645258934992004,0.13244676803514968,0.21411221140444237
BASIC2018,30,2012,2020,tenured_associate_Grand_total_pct,tenured_associate_Grand_total_pct ~ year_num,99.99999999999997,-4.6629367034256575e-15,0.5382181711306381,7.206218595529064e-15
BASIC2018,30,2012,2020,tenured_associate_Grand_total_men_pct,tenured_associate_Grand_total_men_pct ~ year_num,61.08930362436932,-0.2762432723442032,0.46957284393482646,0.3613565032401962
BASIC2018,30,2012,2020,tenured_associate_Grand_total_women_pct,tenured_associate_Grand_total_women_pct ~ year_num,38.91069637563065,0.2762432723441991,0.4695728439348328,0.3613565032401962
BASIC2018,30,2012,2020,tenured_associate_American_Indian_or_Alaska_Native_total_pct,tenured_associate_American_Indian_or_Alaska_Native_total_pct ~ year_num,0.22113695000179495,-0.0011752668547093722,0.9798361479553334,0.04487322960539595
BASIC2018,30,2012,2020,tenured_associate_American_Indian_or_Alaska_Native_men_pct,tenured_associate_American_Indian_or_Alaska_Native_men_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_associate_American_Indian_or_Alaska_Native_women_pct,tenured_associate_American_Indian_or_Alaska_Native_women_pct ~ year_num,0.22113695000179495,-0.0011752668547093722,0.9798361479553334,0.04487322960539595
BASIC2018,30,2012,2020,tenured_associate_Asian_total_pct,tenured_associate_Asian_total_pct ~ year_num,4.226436789558638,0.5901563038509328,0.0027645568088358785,0.13085097221533232
BASIC2018,30,2012,2020,tenured_associate_Asian_men_pct,tenured_associate_Asian_men_pct ~ year_num,2.4611787420319624,0.23490500608581094,0.10101166000454065,0.12443773708315657
BASIC2018,30,2012,2020,tenured_associate_Asian_women_pct,tenured_associate_Asian_women_pct ~ year_num,1.765258047526675,0.35525129776512177,0.02841453165877365,0.12907999529424335
BASIC2018,30,2012,2020,tenured_associate_Black_or_African_American_total_pct,tenured_associate_Black_or_African_American_total_pct ~ year_num,7.584764718231199,-0.168060402052681,0.36085421475969975,0.17191650172192072
BASIC2018,30,2012,2020,tenured_associate_Black_or_African_American_men_pct,tenured_associate_Black_or_African_American_men_pct ~ year_num,6.564078814141582,-0.34135153848946775,0.05150952087458217,0.14560232652315844
BASIC2018,30,2012,2020,tenured_associate_Black_or_African_American_women_pct,tenured_associate_Black_or_African_American_women_pct ~ year_num,1.0206859040896181,0.17329113643678679,0.011001675275557938,0.050538453670331204
BASIC2018,30,2012,2020,tenured_associate_Hispanic_or_Latino_total_pct,tenured_associate_Hispanic_or_Latino_total_pct ~ year_num,11.577331096366308,0.704492761971539,0.03413431712171279,0.26832537867557626
BASIC2018,30,2012,2020,tenured_associate_Hispanic_or_Latino_men_pct,tenured_associate_Hispanic_or_Latino_men_pct ~ year_num,9.316251080199297,0.22855118362218776,0.19039840580024717,0.15764475854954133
BASIC2018,30,2012,2020,tenured_associate_Hispanic_or_Latino_women_pct,tenured_associate_Hispanic_or_Latino_women_pct ~ year_num,2.261080016167009,0.475941578349351,0.006168423764977417,0.12312933476631983
BASIC2018,30,2012,2020,tenured_associate_Native_Hawaiian_or_Other_Pacific_Islander_total_pct,tenured_associate_Native_Hawaiian_or_Other_Pacific_Islander_total_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_associate_Native_Hawaiian_or_Other_Pacific_Islander_men_pct,tenured_associate_Native_Hawaiian_or_Other_Pacific_Islander_men_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_associate_Native_Hawaiian_or_Other_Pacific_Islander_women_pct,tenured_associate_Native_Hawaiian_or_Other_Pacific_Islander_women_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_associate_Nonresident_alien_total_pct,tenured_associate_Nonresident_alien_total_pct ~ year_num,0.5041404751075202,0.03999846672154679,0.7352881482134506,0.11367302078817025
BASIC2018,30,2012,2020,tenured_associate_Nonresident_alien_men_pct,tenured_associate_Nonresident_alien_men_pct ~ year_num,-0.05121965496767941,0.10514215470187471,0.15433025443878173,0.06584345432079076
BASIC2018,30,2012,2020,tenured_associate_Nonresident_alien_women_pct,tenured_associate_Nonresident_alien_women_pct ~ year_num,0.5553601300751997,-0.06514368798032791,0.3029067065735378,0.05858796808314709
BASIC2018,30,2012,2020,tenured_associate_Race_ethnicity_unknown_total_pct,tenured_associate_Race_ethnicity_unknown_total_pct ~ year_num,5.481138924650705,-0.4438942873825553,0.02165741875651449,0.1508914889972879
BASIC2018,30,2012,2020,tenured_associate_Race_ethnicity_unknown_men_pct,tenured_associate_Race_ethnicity_unknown_men_pct ~ year_num,1.8273479551717453,-0.10465702018305406,0.1980251679940596,0.07360002658098849
BASIC2018,30,2012,2020,tenured_associate_Race_ethnicity_unknown_women_pct,tenured_associate_Race_ethnicity_unknown_women_pct ~ year_num,3.6537909694789588,-0.33923726719950137,0.053354411467506524,0.1461908628800283
BASIC2018,30,2012,2020,tenured_associate_Two_or_more_races_total_pct,tenured_associate_Two_or_more_races_total_pct ~ year_num,-0.09259259259259259,0.03968253968253967,0.12687036692367085,0.022910724967842286
BASIC2018,30,2012,2020,tenured_associate_Two_or_more_races_men_pct,tenured_associate_Two_or_more_races_men_pct ~ year_num,-0.09259259259259259,0.03968253968253967,0.12687036692367085,0.022910724967842286
BASIC2018,30,2012,2020,tenured_associate_Two_or_more_races_women_pct,tenured_associate_Two_or_more_races_women_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,tenured_associate_White_total_pct,tenured_associate_White_total_pct ~ year_num,70.49764363867641,-0.7612001159366157,0.04330266477659627,0.3091095253271735
BASIC2018,30,2012,2020,tenured_associate_White_men_pct,tenured_associate_White_men_pct ~ year_num,41.064259280385,-0.4385155977640929,0.08927762535834127,0.2224137158524168
BASIC2018,30,2012,2020,tenured_associate_White_women_pct,tenured_associate_White_women_pct ~ year_num,29.433384358291406,-0.3226845181725231,0.40582464306381044,0.3648575093813619
BASIC2018,30,2012,2020,un_tenured_assistant_Grand_total_pct,un_tenured_assistant_Grand_total_pct ~ year_num,99.99999999999997,-4.6629367034256575e-15,0.5382181711306381,7.206218595529064e-15
BASIC2018,30,2012,2020,un_tenured_assistant_Grand_total_men_pct,un_tenured_assistant_Grand_total_men_pct ~ year_num,56.24584703461281,-2.2273700177661637,0.011947136593618799,0.6612635391486089
BASIC2018,30,2012,2020,un_tenured_assistant_Grand_total_women_pct,un_tenured_assistant_Grand_total_women_pct ~ year_num,43.75415296538717,2.2273700177661597,0.011947136593618913,0.6612635391486091
BASIC2018,30,2012,2020,un_tenured_assistant_American_Indian_or_Alaska_Native_total_pct,un_tenured_assistant_American_Indian_or_Alaska_Native_total_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,un_tenured_assistant_American_Indian_or_Alaska_Native_men_pct,un_tenured_assistant_American_Indian_or_Alaska_Native_men_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,un_tenured_assistant_American_Indian_or_Alaska_Native_women_pct,un_tenured_assistant_American_Indian_or_Alaska_Native_women_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,un_tenured_assistant_Asian_total_pct,un_tenured_assistant_Asian_total_pct ~ year_num,6.11822732965973,1.4392889050106294,0.00029024963886239947,0.2164012030679451
BASIC2018,30,2012,2020,un_tenured_assistant_Asian_men_pct,un_tenured_assistant_Asian_men_pct ~ year_num,3.2625177714707077,0.16047474426500835,0.2579265350431662,0.13031646140819494
BASIC2018,30,2012,2020,un_tenured_assistant_Asian_women_pct,un_tenured_assistant_Asian_women_pct ~ year_num,2.8557095581890213,1.2788141607456216,0.0027509604511943846,0.28328311603065365
BASIC2018,30,2012,2020,un_tenured_assistant_Black_or_African_American_total_pct,un_tenured_assistant_Black_or_African_American_total_pct ~ year_num,1.9435131315715648,0.6359881288306964,0.049521162312570574,0.2682173661490793
BASIC2018,30,2012,2020,un_tenured_assistant_Black_or_African_American_men_pct,un_tenured_assistant_Black_or_African_American_men_pct ~ year_num,2.4727329513197356,-0.2493182536339098,0.25088755753954634,0.19918545755510822
BASIC2018,30,2012,2020,un_tenured_assistant_Black_or_African_American_women_pct,un_tenured_assistant_Black_or_African_American_women_pct ~ year_num,-0.5292198197481701,0.8853063824646062,0.0001476273004224879,0.11940643718338124
BASIC2018,30,2012,2020,un_tenured_assistant_Hispanic_or_Latino_total_pct,un_tenured_assistant_Hispanic_or_Latino_total_pct ~ year_num,15.00032874315248,-0.7296043403623858,0.024359165281481895,0.25516164355227305
BASIC2018,30,2012,2020,un_tenured_assistant_Hispanic_or_Latino_men_pct,un_tenured_assistant_Hispanic_or_Latino_men_pct ~ year_num,9.004916587965145,-0.5706292779070347,0.00626563370165694,0.14808860316486497
BASIC2018,30,2012,2020,un_tenured_assistant_Hispanic_or_Latino_women_pct,un_tenured_assistant_Hispanic_or_Latino_women_pct ~ year_num,5.9954121551873385,-0.1589750624553511,0.5211949220601613,0.23543425274808993
BASIC2018,30,2012,2020,un_tenured_assistant_Native_Hawaiian_or_Other_Pacific_Islander_total_pct,un_tenured_assistant_Native_Hawaiian_or_Other_Pacific_Islander_total_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,un_tenured_assistant_Native_Hawaiian_or_Other_Pacific_Islander_men_pct,un_tenured_assistant_Native_Hawaiian_or_Other_Pacific_Islander_men_pct ~ year_num,0.0,0.0,,0.0
BASIC2018,30,2012,2020,un_tenured_assistant_Native_Hawaiian_or_Other_Pacific_Islander_women_pct,un_tenured_assistant_Native_Hawaiian_or_Other_Pacific_Islander_women_pct ~ year_num,0.0,0.0,,0.0
